id,proba
21-186G-1142,0.02577619060829972
21-186G-1227,0.06545054328982947
21-186G-1306,0.013323732705106006
21-186G-1310,0.014084309974083054
21-186G-1358,0.016104225456043286
21-186G-136,0.014087529161665113
21-186G-1495,0.012330117538800756
21-186G-1512,0.06259365209440848
21-186G-1548,0.022068393129645703
21-186G-1624,0.013850599304250255
21-186G-1743,0.014559664088600766
21-186G-1807,0.01582433342720624
21-186G-1834,0.014258943840875005
21-186G-1877,0.02247528972644075
21-186G-1884,0.01994234293123165
21-186G-1887,0.017725739174663135
21-186G-189,0.01970060748872926
21-186G-199,0.012455115572086894
21-186G-2028,0.012062372039369884
21-186G-2053,0.014291681249945731
21-186G-2058,0.014087529161665113
21-186G-2070,0.015327650999276132
21-186G-2079,0.03475426764300582
21-186G-2125,0.016224709896017986
21-186G-216,0.03137643006087554
21-186G-2194,0.012046607830653588
21-186G-2328,0.04923628713030548
21-186G-2341,0.14120541126956043
21-186G-246,0.016408600327269762
21-186G-2525,0.01261200790382333
21-186G-2533,0.02211416281009715
21-186G-2560,0.016914404800496885
21-186G-2626,0.014546458976802401
21-186G-2630,0.04368407736768454
21-186G-2631,0.09351849521248645
21-186G-2665,0.013339977322780472
21-186G-2720,0.013813460845737202
21-186G-2726,0.06268831206679792
21-186G-2747,0.015589617105672637
21-186G-2783,0.014347155751792573
21-186G-2912,0.01394150735921873
21-186G-2927,0.021095520231218856
21-186G-2937,0.01481459351325154
21-186G-295,0.013214011688933325
21-186G-296,0.04132581417627512
21-186G-3009,0.014568768632816975
21-186G-302,0.06570498901549904
21-186G-3055,0.014872850608015908
21-186G-3065,0.05975006481383571
21-186G-3068,0.015197999443407384
21-186G-3189,0.012301963639981595
21-186G-3202,0.012374978580105167
21-186G-3384,0.0372647302822019
21-186G-3403,0.08138025339560184
21-186G-3451,0.03440789726918292
21-186G-3543,0.014864525858264588
21-186G-3566,0.014022277711036368
21-186G-358,0.03282566524693353
21-186G-3644,0.013905849198811326
21-186G-3651,0.015149811572137795
21-186G-3652,0.013884066524344041
21-186G-3678,0.02291982315490637
21-186G-3688,0.04115193438168707
21-186G-3727,0.012017291750524794
21-186G-3745,0.01552163875040069
21-186G-381,0.012395930488237505
21-186G-3816,0.0245051686425245
21-186G-3827,0.03508018690451786
21-186G-3930,0.014122055137074319
21-186G-4031,0.01671519353066042
21-186G-4072,0.03443767155631594
21-186G-4075,0.013129243230469712
21-186G-4111,0.012696718328505052
21-186G-4126,0.08612356548770117
21-186G-4150,0.012425212182713974
21-186G-4151,0.014052147883652832
21-186G-4162,0.021785784705595335
21-186G-4256,0.015102979076349388
21-186G-4261,0.013825883742040745
21-186G-4273,0.022065122369651413
21-186G-4446,0.01566003780125036
21-186G-4471,0.012834358784349131
21-186G-4479,0.01496009458706482
21-186G-4512,0.026697714546969786
21-186G-4573,0.03403829771677025
21-186G-46,0.050375947260913434
21-186G-4611,0.0184198037635106
21-186G-4668,0.021756837934499784
21-186G-469,0.013839579169347749
21-186G-476,0.01582511385682772
21-186G-4760,0.017725739174663135
21-186G-4762,0.014623817094498781
21-186G-4767,0.01573168624717558
