id	id	X_cluster_5
21-186G-1161	21-186G-1161	
21-186G-1172	21-186G-1172	
21-186G-1190	21-186G-1190	
21-186G-1193	21-186G-1193	
21-186G-12	21-186G-12	
21-186G-1201	21-186G-1201	
21-186G-1215	21-186G-1215	
21-186G-122	21-186G-122	
21-186G-123	21-186G-123	
21-186G-1234	21-186G-1234	
21-186G-1235	21-186G-1235	
21-186G-1244	21-186G-1244	
21-186G-1245	21-186G-1245	
21-186G-1247	21-186G-1247	
21-186G-1248	21-186G-1248	
21-186G-1249	21-186G-1249	
21-186G-1252	21-186G-1252	
21-186G-1261	21-186G-1261	
21-186G-1269	21-186G-1269	
21-186G-127	21-186G-127	
21-186G-1271	21-186G-1271	
21-186G-1275	21-186G-1275	
21-186G-1289	21-186G-1289	
21-186G-1291	21-186G-1291	
21-186G-1298	21-186G-1298	
21-186G-1299	21-186G-1299	
21-186G-13	21-186G-13	
21-186G-1301	21-186G-1301	
21-186G-1302	21-186G-1302	
21-186G-1308	21-186G-1308	
21-186G-1309	21-186G-1309	
21-186G-1311	21-186G-1311	
21-186G-1312	21-186G-1312	
21-186G-1315	21-186G-1315	
21-186G-1327	21-186G-1327	
21-186G-1330	21-186G-1330	
21-186G-1334	21-186G-1334	
21-186G-1357	21-186G-1357	
21-186G-1371	21-186G-1371	
21-186G-1428	21-186G-1428	
21-186G-1432	21-186G-1432	
21-186G-1437	21-186G-1437	
21-186G-1442	21-186G-1442	
21-186G-1449	21-186G-1449	
21-186G-1456	21-186G-1456	
21-186G-1460	21-186G-1460	
21-186G-1461	21-186G-1461	
21-186G-1467	21-186G-1467	
21-186G-1468	21-186G-1468	
21-186G-1470	21-186G-1470	
21-186G-1473	21-186G-1473	
21-186G-1474	21-186G-1474	
21-186G-1476	21-186G-1476	
21-186G-1482	21-186G-1482	
21-186G-1484	21-186G-1484	
21-186G-1485	21-186G-1485	
21-186G-1486	21-186G-1486	
21-186G-1494	21-186G-1494	
21-186G-1499	21-186G-1499	
21-186G-1505	21-186G-1505	
21-186G-1514	21-186G-1514	
21-186G-1518	21-186G-1518	
21-186G-1519	21-186G-1519	
21-186G-1520	21-186G-1520	
21-186G-1522	21-186G-1522	
21-186G-1523	21-186G-1523	
21-186G-153	21-186G-153	
21-186G-1537	21-186G-1537	
21-186G-1538	21-186G-1538	
21-186G-1543	21-186G-1543	
21-186G-1545	21-186G-1545	
21-186G-1550	21-186G-1550	
21-186G-1555	21-186G-1555	
21-186G-1556	21-186G-1556	
21-186G-1569	21-186G-1569	
21-186G-1577	21-186G-1577	
21-186G-1582	21-186G-1582	
21-186G-159	21-186G-159	
21-186G-1590	21-186G-1590	
21-186G-1593	21-186G-1593	
21-186G-1598	21-186G-1598	
21-186G-1599	21-186G-1599	
21-186G-1602	21-186G-1602	
21-186G-1611	21-186G-1611	
21-186G-1616	21-186G-1616	
21-186G-1629	21-186G-1629	
21-186G-1632	21-186G-1632	
21-186G-164	21-186G-164	
21-186G-1644	21-186G-1644	
21-186G-1648	21-186G-1648	
21-186G-169	21-186G-169	
21-186G-1725	21-186G-1725	
21-186G-1728	21-186G-1728	
21-186G-1730	21-186G-1730	
21-186G-1759	21-186G-1759	
21-186G-1760	21-186G-1760	
21-186G-1775	21-186G-1775	
21-186G-1780	21-186G-1780	
21-186G-1781	21-186G-1781	
21-186G-1799	21-186G-1799	
21-186G-18	21-186G-18	
21-186G-1812	21-186G-1812	
21-186G-1827	21-186G-1827	
21-186G-1831	21-186G-1831	
21-186G-184	21-186G-184	
21-186G-1856	21-186G-1856	
21-186G-1864	21-186G-1864	
21-186G-1865	21-186G-1865	
21-186G-1866	21-186G-1866	
21-186G-1869	21-186G-1869	
21-186G-1875	21-186G-1875	
21-186G-1876	21-186G-1876	
21-186G-1879	21-186G-1879	
21-186G-1882	21-186G-1882	
21-186G-1898	21-186G-1898	
21-186G-1905	21-186G-1905	
21-186G-1915	21-186G-1915	
21-186G-1917	21-186G-1917	
21-186G-1928	21-186G-1928	
21-186G-193	21-186G-193	
21-186G-1931	21-186G-1931	
21-186G-1943	21-186G-1943	
21-186G-1944	21-186G-1944	
21-186G-195	21-186G-195	
21-186G-197	21-186G-197	
21-186G-20	21-186G-20	
21-186G-200	21-186G-200	
21-186G-2020	21-186G-2020	
21-186G-2021	21-186G-2021	
21-186G-2022	21-186G-2022	
21-186G-2033	21-186G-2033	
21-186G-2036	21-186G-2036	
21-186G-2037	21-186G-2037	
21-186G-204	21-186G-204	
21-186G-2045	21-186G-2045	
21-186G-2047	21-186G-2047	
21-186G-2048	21-186G-2048	
21-186G-2050	21-186G-2050	
21-186G-2052	21-186G-2052	
21-186G-2055	21-186G-2055	
21-186G-2057	21-186G-2057	
21-186G-2063	21-186G-2063	
21-186G-2065	21-186G-2065	
21-186G-2069	21-186G-2069	
21-186G-207	21-186G-207	
21-186G-2072	21-186G-2072	
21-186G-2073	21-186G-2073	
21-186G-2075	21-186G-2075	
21-186G-2076	21-186G-2076	
21-186G-2085	21-186G-2085	
21-186G-2086	21-186G-2086	
21-186G-2087	21-186G-2087	
21-186G-2091	21-186G-2091	
21-186G-2092	21-186G-2092	
21-186G-2094	21-186G-2094	
21-186G-2099	21-186G-2099	
21-186G-2107	21-186G-2107	
21-186G-2108	21-186G-2108	
21-186G-211	21-186G-211	
21-186G-2111	21-186G-2111	
